,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
752,Chuy,UY,1529262030,-33.69,-53.46,56.36,87,8.52,0
753,Chumikan,RU,1529261557,54.72,135.31,39.26,95,12.44,92
754,Aniva,RU,1529258400,46.71,142.53,48.2,100,6.71,90
755,Samarai,PG,1529261534,-10.62,150.67,74.81,100,6.4,92
756,Zhengjiatun,CN,1529262065,43.51,123.51,67.61,89,11.77,76
757,Rurrenabaque,BO,1529258400,-14.44,-67.53,73.4,60,2.82,36
758,Vardo,NO,1529257800,70.37,31.11,48.2,81,3.36,0
759,Sawtell,AU,1529258400,-30.38,153.1,37.4,86,4.7,0
760,Ormara,PK,1529262032,25.21,64.64,84.61,90,10.54,20
761,East Wenatchee Bench,US,1529261580,47.43,-120.28,82.4,26,10.29,1
762,Yarmouth,CA,1529258400,43.84,-66.12,69.8,32,13.87,75
763,Morant Bay,JM,1529258400,17.88,-76.41,89.6,66,23.04,20
764,Bambanglipuro,ID,1529262067,-7.95,110.28,68.86,86,2.71,0
765,Paducah,US,1529260500,37.08,-88.6,93.2,59,3.36,40
766,Gubkinskiy,RU,1529262033,64.43,76.5,60.31,64,9.98,92
767,We,NC,1529262033,-20.92,167.26,70.84,100,5.39,92
768,Nortelandia,BR,1529262034,-14.45,-56.8,72.11,80,6.4,0
769,Port Alfred,ZA,1529262034,-33.59,26.89,66.16,62,5.73,8
770,Colac,AU,1529262034,-38.34,143.59,48.34,94,4.94,92
771,Christchurch,NZ,1529258400,-43.53,172.64,44.6,93,3.36,92
772,Isperih,BG,1529262034,43.72,26.83,69.76,90,3.38,48
773,Santa Barbara,BO,1529262035,-20.92,-66.05,54.11,17,7.4,0
774,Paracuru,BR,1529258400,-3.41,-39.03,84.2,70,14.99,20
775,Santa Rita,VE,1529258400,10.21,-67.56,87.8,48,5.5,40
776,Calvinia,ZA,1529262035,-31.47,19.78,49.33,59,5.5,8
777,Nanortalik,GL,1529262035,60.14,-45.24,35.03,100,9.08,76
778,Lusambo,CD,1529262036,-4.97,23.44,81.56,41,2.71,0
779,Westport,IE,1529260200,53.8,-9.52,53.6,93,21.92,75
780,Hermanus,ZA,1529262036,-34.42,19.24,56.44,98,10.76,92
781,Alakurtti,RU,1529262036,66.96,30.34,66.71,26,2.82,24
782,Vaitape,PF,1529262036,-16.52,-151.75,76.61,100,6.85,12
783,Ahipara,NZ,1529261550,-35.17,173.16,57.71,100,16.13,92
784,Oranjemund,NA,1529261562,-28.55,16.43,59.41,97,9.19,0
785,Pangai,TO,1529258400,-19.8,-174.35,75.2,73,9.17,40
786,Uvinza,TZ,1529262037,-5.1,30.39,65.81,60,2.26,0
787,Sao Gabriel da Cachoeira,BR,1529258400,-0.13,-67.09,75.2,94,6.93,75
788,Miri,MY,1529258400,4.41,114.01,78.8,94,3.36,75
789,Bam,IR,1529261924,29.11,58.36,79.76,15,5.95,12
790,Guadalajara,ES,1529260200,40.63,-3.16,87.8,16,16.11,0
791,Nola,CF,1529262037,3.52,16.05,78.23,81,2.59,12
792,Okha,RU,1529262038,53.59,142.95,43.21,89,9.64,92
793,Kaeo,NZ,1529261557,-35.1,173.78,56.18,92,13.67,20
794,Arraial do Cabo,BR,1529260200,-22.97,-42.02,73.4,100,6.93,75
795,Belyy Yar,RU,1529260200,53.6,91.39,59.0,72,2.24,0
796,Sechura,PE,1529262038,-5.56,-80.82,73.63,78,10.87,0
797,Khandbari,NP,1529262039,27.38,87.21,43.66,68,1.48,68
798,Kirovsk,RU,1529262039,67.62,33.66,62.74,34,2.59,48
799,Inhuma,BR,1529261900,-6.67,-41.71,90.73,37,9.64,0
800,Dingle,IE,1529261880,52.14,-10.27,57.79,95,21.27,88
801,Gilgit,PK,1529262056,35.92,74.31,33.86,81,0.25,0
802,Maputo,MZ,1529258400,-25.97,32.57,68.0,72,8.05,0
803,Praia da Vitoria,PT,1529258400,38.73,-27.07,78.8,65,6.17,20
804,Cartagena,CO,1529261553,9.69,-73.26,89.66,61,1.14,8
805,Kapaa,US,1529258160,22.08,-159.32,78.8,78,5.82,20
806,Kinango,KE,1529258400,-4.13,39.32,77.0,83,4.7,20
807,Riverton,US,1529261580,43.02,-108.38,53.6,87,5.82,90
808,Pauini,BR,1529262041,-7.71,-67.0,78.68,68,7.74,24
809,Ribeira Grande,PT,1529260200,38.52,-28.7,75.2,78,9.75,20
810,Haines Junction,CA,1529261537,60.75,-137.51,53.29,53,4.38,56
811,Aklavik,CA,1529258400,68.22,-135.01,50.0,79,3.36,75
812,Boa Vista,BR,1529258400,2.82,-60.67,78.8,83,4.7,75
813,Kaz,RU,1529262043,53.11,87.55,60.86,61,4.94,0
814,Grootfontein,NA,1529262043,-19.56,18.1,56.53,38,6.4,0
815,Tarnos,FR,1529260200,43.54,-1.46,66.2,72,6.93,40
816,Lebu,CL,1529262043,-37.62,-73.65,54.56,98,2.82,44
817,Neiafu,TO,1529258400,-18.65,-173.98,71.6,83,2.24,40
818,Muborak,UZ,1529262044,39.25,65.15,78.23,23,10.98,0
819,Hare Bay,CA,1529258400,48.86,-53.99,46.4,65,11.41,75
820,Sibolga,ID,1529262044,1.74,98.78,70.03,100,1.7,80
821,Medfield,US,1529260500,42.19,-71.31,89.6,44,9.17,1
822,Mangrol,IN,1529261556,25.33,76.51,88.03,53,16.02,0
823,Tynda,RU,1529262045,55.15,124.74,46.99,86,2.59,8
824,Las Vegas,US,1529260740,36.17,-115.15,87.8,10,24.16,1
825,San Patricio,MX,1529258700,19.22,-104.7,87.8,66,9.17,75
826,Changli,CN,1529262045,30.54,105.42,71.56,99,3.27,100
827,Salou,ES,1529260200,41.08,1.14,75.2,53,4.7,0
828,Kikwit,CD,1529262045,-5.04,18.82,79.03,74,2.26,0
829,Saint George,BM,1529258100,32.38,-64.68,77.0,69,9.17,75
830,Saint-Philippe,RE,1529258400,-21.36,55.77,71.6,68,6.93,0
831,Green River,US,1529261640,41.53,-109.47,59.0,72,25.28,75
832,Walvis Bay,NA,1529258400,-22.95,14.51,57.2,82,2.24,0
833,Yuanping,CN,1529262046,38.72,112.71,60.58,94,2.37,76
834,Lagoa,PT,1529260200,37.14,-8.45,75.2,57,10.29,0
835,Bilibino,RU,1529262047,68.06,166.44,63.28,49,2.59,68
836,Pringsewu,ID,1529262047,-5.36,104.98,74.63,92,0.58,80
837,Wembley,CA,1529258400,55.15,-119.14,73.4,38,4.7,75
838,Praya,ID,1529260200,-8.71,116.27,68.0,100,2.24,0
839,Pudozh,RU,1529262069,61.81,36.54,69.41,72,2.82,0
840,Khao Yoi,TH,1529262069,13.24,99.82,75.26,85,6.96,56
841,Pacific Grove,US,1529260500,36.62,-121.92,66.2,55,6.93,1
842,Calbuco,CL,1529258400,-41.77,-73.13,57.2,87,18.34,90
843,Gigmoto,PH,1529262069,13.78,124.39,82.28,100,9.75,44
844,Rundu,NA,1529262070,-17.91,19.77,61.13,28,7.63,0
845,San Nicolas,AR,1529258400,-27.11,-65.24,66.2,37,5.82,0
846,Talnakh,RU,1529262070,69.49,88.39,60.23,65,2.93,0
847,Narsaq,GL,1529257800,60.91,-46.05,46.4,98,10.29,75
848,Kruszwica,PL,1529260200,52.67,18.33,78.8,31,4.7,0
849,Zruc nad Sazavou,CZ,1529258400,49.74,15.11,78.8,39,4.7,0
850,Hilo,US,1529257980,19.71,-155.08,71.6,88,8.05,90
851,Mayumba,GA,1529262071,-3.44,10.65,74.81,95,8.08,92
852,Isoka,ZM,1529262071,-10.15,32.64,65.18,47,8.3,8
853,Khovu-Aksy,RU,1529262071,51.13,93.72,46.09,70,1.92,0
854,Buta,CD,1529262072,2.79,24.73,82.01,68,3.83,8
855,Gornopravdinsk,RU,1529262072,60.06,69.92,49.16,88,2.82,0
856,Kahului,US,1529258160,20.89,-156.47,78.8,78,10.29,20
857,Cayenne,GF,1529260200,4.94,-52.33,78.8,94,2.24,56
858,Rahimatpur,IN,1529262072,17.59,74.2,71.74,90,9.08,68
859,Tazovskiy,RU,1529261578,67.47,78.7,65.89,81,4.16,32
860,Gravdal,NO,1529259600,59.79,5.78,60.8,76,8.05,0
861,Puerto Escondido,MX,1529257500,15.86,-97.07,82.4,74,1.14,90
862,Edson,CA,1529258400,53.59,-116.44,69.8,35,6.93,1
863,Khandyga,RU,1529262073,62.65,135.58,57.71,69,7.74,76
864,Padang,ID,1529262073,-0.92,100.36,77.06,100,5.39,100
865,Vredendal,ZA,1529262073,-31.68,18.49,57.16,84,8.3,92
866,Kuala Terengganu,MY,1529258400,5.33,103.14,73.4,94,4.7,75
867,Jurm,AF,1529262074,36.86,70.83,39.43,85,1.48,20
868,Sale,AU,1529262074,-38.11,147.06,51.68,96,9.53,92
